Story,Works with,No. of Actions,Author
"Analyze phishing email senders, URLs, & attachments",", , , ",51,
Analyze CrowdStrike detections,", , , ",13,
Analyze a file in VirusTotal,,21,
Analyze and triage suspicious emails with various tools,", , , , , ",59,Michael Tolan
Add form data to Google Sheets,,3,
Create AI powered tools in Tines,,10,
Analyze domains through multiple sources,", ",16,
Run provided searches in Splunk,,13,
Bootcamp - Tines Fundamentals,,0,
Create Tines case from the Risk Register,,4,Conor Dunne
List EC2 instances in AWS,,11,Michael Tolan
Manage SSH users via Ansible,,6,Conor Dunne
Search Microsoft sign in logs,,8,
Analyze URLs in URLScan,,12,
Add a domain to a blocklist in Zscaler,", ",15,Conor Dunne
Implement pagination with these techniques,", , , ",32,
Backup Tines Stories to GitHub,,22,
Bootcamp - Tines Advanced,,12,
Send KnowBe4 training reminders via Slack,", ",23,
Analyze email headers for IPs and spoofing,,14,
Run a CrowdStrike Real Time Response command,,11,
Analyze an IP in many services at once,", , , , , ",13,Michael Tolan
Ingest Tines audit logs into Splunk,,9,
Monitor security advisories,", ",15,
Bootcamp - AI in Tines,,2,
Geo-lookup IP addresses in bulk,,8,
Check for new CISA vulnerabilities,", ",6,
Create Jira issues via Slack,", ",7,
Send interactive messages in Slack,", ",26,
Generate a Google service account credential,", ",7,Aaron Sandow
Analyze a hash in VirusTotal,,15,Michael Tolan
Triage Elastic Security alerts and block malicious IPs,", , ",17,
Introduction to Tines,,10,
Explore loop examples,,8,Emily Nguyen
Lookup IOCs in different tools via Slackbot,", , , , , , , , , ",66,Emily Nguyen
Find & remediate publicly exposed S3 buckets with Wiz,", , , ",13,
Get new advisories from CISA,,7,
Add a new user in Microsoft Entra ID,", , , ",6,Michael Tolan
Identify and remediate malicious SentinelOne threats with VirusTotal,", , ",40,
Analyze SMS messages for scams using OCR and AI,,12,
Fetch and record CrowdStrike Spotlight vulnerabilities with Jira,", , ",26,
Display data in a table and provide a download option,,6,Conor Dunne
Query various Mimecast endpoints,,16,
Search & update notable status in Splunk Enterprise Security,,11,Tines
Handle Code42 alerts,", , ",17,
"Ingest, analyze and store IOCs with Tines",", , , , , , , ",45,Michael Tolan
Analyze Crowdstrike detections and report in Jira and Microsoft Teams,", , , ",13,
Bulk search Have I Been Pwned,,16,Michael Tolan
Offboard employees using BambooHR,", , , ",18,
Grant temporary application access,", , , ",30,"Shaun Finn , Rosie Halpin and Michael Tolan"
Analyze suspicious email contents with ChatGPT Vision,,5,
Analyse an IP address,", ",5,
Add new employees to BambooHR and manage system access,", , , , ",17,Michael Tolan
Onboard employees & grant specialized access to specific tools,", , ",21,
Investigate & remediate Lacework alerts,", , ",25,
Investigate unresolved SentinelOne threats,", ",5,
Query Log Analytics for Azure Sentinel alerts,", ",5,
Check CrowdStrike agent is installed on new devices provisioned,", , , ",18,Shaun Finn
Create an IP enrichment API,", , ",6,
Normalize alerts from multiple sources using ChatGPT,", , , ",16,
Analyze vulnerabilities from Tenable workbench,", , , ",25,
Search Elastic data sets and display results,,5,
Facilitate & approve user requests to specific tools,,17,
Explore Tines Cases with provided sample data,,22,
Detect and remediate malware issues in Wiz with SentinelOne,", , , ",21,
Fetch & manage Microsoft Defender alerts,", ",5,
Create & manage incident communications with Slack and Jira,", ",59,Rosie Halpin
Analyze IPs & search for indicators of compromise,", , ",29,
Analyze and manage phishing alerts with KnowBe4 PhishER and Talos,,23,
Contain a registered device with CrowdStrike,", , ",10,
Bootcamp - Tines Pages and Applications,,12,
