Tool Name,Story,Works with,No. of Actions,Author
Slack,Analyze CrowdStrike detections,"['CrowdStrike', 'Jira Software', 'Slack', 'VirusTotal']",13,
Slack,Add a domain to a blocklist in Zscaler,"['Slack', 'Zscaler']",15,Conor Dunne
Slack,Implement pagination with these techniques,"['Jira Software', 'Notion', 'Slack', 'Tenable Vulnerability Management']",32,
Slack,Send KnowBe4 training reminders via Slack,"['Knowbe4', 'Slack']",23,
Slack,Create Jira issues via Slack,"['Jira Software', 'Slack']",7,
Slack,Send interactive messages in Slack,"['Jira Software', 'Slack']",26,
Slack,Get new advisories from CISA,['Slack'],7,
Slack,Lookup IOCs in different tools via Slackbot,"['AbuseIPDB', 'Anomali ThreatStream', 'CrowdStrike', 'Hunter.io', 'Hybrid Analysis', 'MetaDefender', 'Pulsedive', 'Slack', 'URLScan.io', 'VirusTotal']",66,Emily Nguyen
Slack,Find & remediate publicly exposed S3 buckets with Wiz,"['AWS', 'Jira Software', 'Slack', 'Wiz']",13,
Slack,Handle Code42 alerts,"['Code42', 'Jira Software', 'Slack']",17,
Slack,Offboard employees using BambooHR,"['BambooHR', 'Google', 'Okta', 'Slack']",18,
Slack,Grant temporary application access,"['Jira Software', 'Okta', 'Slack', 'Tines']",30,"Shaun Finn , Rosie Halpin and Michael Tolan"
Slack,Add new employees to BambooHR and manage system access,"['BambooHR', 'Google', 'Microsoft Azure', 'Okta', 'Slack']",17,Michael Tolan
Slack,Check CrowdStrike agent is installed on new devices provisioned,"['CrowdStrike', 'Qualys', 'ServiceNow', 'Slack']",18,Shaun Finn
Slack,Analyze vulnerabilities from Tenable workbench,"['GreyNoise', 'Jira Software', 'Slack', 'Tenable Vulnerability Management']",25,
Slack,Create & manage incident communications with Slack and Jira,"['Jira Software', 'Slack']",59,Rosie Halpin
Slack,Contain a registered device with CrowdStrike,"['CrowdStrike', 'Jira Software', 'Slack']",10,
Slack,Send an Okta MFA challenge via a Tines page,"['Okta', 'Slack']",34,
Slack,Monitor action failures in Tines and notify via Slack,"['Slack', 'Tines']",14,Michael Tolan
Slack,Correlate & alert on failed login attempts in Okta via Slack,"['Okta', 'Slack']",8,
